target_x,target_y,target_z,target_radius,miss_distance,t_closest,closest_x,closest_y,closest_z,apogee,impact_time,max_gimbal_pitch_deg,max_gimbal_yaw_deg,waypoint_index,waypoint_count,final_waypoint_reached,ground_terminated,terminal_guidance
-4.471000,-14.756912,27.180990,31.250000,7.426424,0.958567,-4.345317,-7.832170,29.861274,1777.850365,43.818000,30.000000,29.990140,0,1,1,1,1
12.758663,7.561144,27.506510,31.250000,3.955612,0.992450,9.566170,6.633487,29.649944,1022.614300,32.889000,30.000000,24.269087,0,1,1,1,1
-13.908237,2.915731,27.832031,31.250000,4.801984,0.985260,-9.713180,1.615734,29.773822,1672.719619,42.513000,30.000000,29.807369,0,1,1,1,1
7.903196,-11.011551,28.157552,31.250000,3.091309,0.983367,6.496760,-8.786873,29.778952,1232.862769,36.099000,30.000000,29.989310,0,1,1,1,1
1.527668,12.764924,28.483073,31.250000,3.446676,0.974346,1.296484,9.741262,30.121242,1417.761759,38.753000,30.000000,29.987435,0,1,1,1,1
-9.182544,-7.893561,28.808594,31.250000,3.213498,0.979101,-7.846090,-5.140778,29.789739,1900.932728,45.567000,30.000000,29.851149,0,1,1,1,1
11.297723,-0.356822,29.134115,31.250000,1.389434,0.971593,10.080713,-0.476951,29.793645,1392.723525,38.365000,30.000000,9.823044,0,1,1,1,1
-7.461343,7.281534,29.459635,31.250000,2.866600,0.960709,-6.245794,4.813176,30.264026,2038.667505,47.340000,30.000000,29.964381,0,1,1,1,1
0.528897,-9.440722,29.785156,31.250000,2.137628,0.955249,0.199876,-7.442543,30.469609,1983.198816,46.439000,30.000000,29.967461,0,1,1,1,1
5.294208,6.471552,30.110677,31.250000,0.318067,0.958071,5.115538,6.233600,30.223029,1825.975782,44.281000,30.000000,27.784658,0,1,1,1,1
-7.012394,-1.013257,30.436198,31.250000,0.103931,0.952494,-6.976370,-1.110601,30.441507,2108.795440,48.140000,30.000000,29.987341,0,1,1,1,1
4.547343,-3.098520,30.761719,31.250000,0.366916,0.947025,4.451531,-2.750113,30.825438,2077.748656,47.536000,30.000000,23.195404,0,1,1,1,1
-0.729397,3.100648,31.087240,31.250000,0.619370,0.941686,-0.527684,2.518030,31.146298,2236.718164,49.542000,30.000000,29.992895,0,1,1,1,1
-7.926536,-61.168528,10.091146,62.500000,56.446315,1.066300,-5.199756,-10.648953,35.121602,622.307868,25.652000,30.000000,29.996883,0,1,1,1,1
47.079380,39.678551,10.742188,62.500000,46.600047,1.458270,23.222768,24.302056,47.701488,128.695276,9.326000,30.000000,29.916072,0,1,1,1,1
-61.400304,2.539095,11.393229,62.500000,51.260266,1.298000,-20.989502,0.667078,42.874613,318.640071,17.865000,29.997453,29.991715,0,1,1,1,1
43.471448,-43.259897,12.044271,62.500000,45.045409,1.475552,25.628693,-23.173437,48.200308,129.759152,9.426000,30.000000,29.998432,0,1,1,1,1
-2.826780,61.131730,12.695312,62.500000,52.500161,1.272319,-1.140818,19.516289,44.657471,284.909273,16.480000,29.999999,29.997919,0,1,1,1,1
-39.120658,-46.879622,13.346354,62.500000,50.450317,1.267687,-17.925958,-10.918817,41.680780,320.163039,17.989000,29.976431,29.998719,0,1,1,1,1
60.368436,8.122488,13.997396,62.500000,48.202697,1.411738,27.397000,4.619792,48.984757,179.265431,11.635000,30.000000,29.037519,0,1,1,1,1
-49.874648,34.701481,14.648438,62.500000,49.914884,1.265564,-20.460223,4.830995,41.741635,334.372424,18.522000,29.977077,29.998494,0,1,1,1,1
13.300238,-59.120890,15.299479,62.500000,51.416505,1.271326,2.944061,-18.594967,45.200252,341.534815,18.530000,29.997650,29.997919,0,1,1,1,1
30.044829,52.432233,15.950521,62.500000,40.956375,1.507144,18.863592,31.438808,49.292396,133.739454,9.743000,30.000000,29.997554,0,1,1,1,1
-57.404291,-18.313534,16.601562,62.500000,47.559018,1.344617,-21.334024,-6.835995,45.395001,354.903194,19.230000,29.998300,29.985760,0,1,1,1,1
54.532470,-25.195384,17.252604,62.500000,40.454710,1.509859,31.720283,-17.713414,49.813437,140.250648,10.051000,30.000000,29.977426,0,1,1,1,1
-23.117644,55.238429,17.903646,62.500000,51.247327,1.178000,-9.433589,11.582309,40.994301,637.661131,26.023000,30.000000,29.997554,0,1,1,1,1
-20.199601,-56.160036,18.554688,62.500000,49.304952,1.230333,-13.659017,-13.094383,41.653356,482.209084,22.720000,29.965626,29.997698,0,1,1,1,1
52.647493,27.670047,19.205729,62.500000,40.076201,1.522627,29.228357,20.428155,50.910633,150.760540,10.622000,30.000000,29.989379,0,1,1,1,1
-57.304364,15.105247,19.856771,62.500000,43.720630,1.389436,-25.334493,2.443451,46.858618,319.477153,18.129000,29.993928,29.999494,0,1,1,1,1
31.930868,-49.659836,20.507812,62.500000,40.691994,1.489131,19.782556,-26.105001,51.385421,187.337241,12.373000,30.000000,29.999257,0,1,1,1,1
9.960922,57.959753,21.158854,62.500000,41.417893,1.473481,7.464499,30.082412,51.688571,210.905685,13.518000,30.000000,29.999178,0,1,1,1,1
-46.307701,-35.863286,21.809896,62.500000,42.282278,1.405722,-23.320205,-11.712050,47.811508,338.048167,18.827000,29.992105,29.999440,0,1,1,1,1
58.125438,-4.815574,22.460938,62.500000,36.670415,1.547502,36.227842,-7.111478,51.785730,153.872161,10.805000,30.000000,29.994777,0,1,1,1,1
-39.433913,42.626904,23.111979,62.500000,45.016640,1.305108,-20.572499,7.964191,44.773956,448.216355,21.958000,29.973484,29.998081,0,1,1,1,1
0.281995,-57.805617,23.763021,62.500000,46.375643,1.285673,-4.224556,-17.822219,46.822058,617.318372,25.649000,30.000000,29.998041,0,1,1,1,1
38.656489,42.613137,24.414062,62.500000,32.678026,1.551182,24.637379,30.168623,51.180685,157.595474,11.236000,30.000000,29.991266,0,1,1,1,1
-57.009419,-5.283620,25.065104,62.500000,39.854937,1.444337,-26.158725,-2.420231,50.134042,392.728169,20.567000,29.998719,29.992563,0,1,1,1,1
45.375440,-34.438341,25.716146,62.500000,31.259766,1.554636,31.247506,-23.549026,51.387088,161.946440,11.484000,30.000000,29.997651,0,1,1,1,1
-10.142261,55.750838,26.367188,62.500000,41.918038,1.407842,-6.277597,23.140656,52.420256,433.278305,21.460000,29.996338,29.998553,0,1,1,1,1
-30.016780,-47.699667,27.018229,62.500000,39.765640,1.411569,-21.470712,-15.683213,49.000440,409.200712,21.054000,29.979233,29.998744,0,1,1,1,1
54.048606,14.812482,27.669271,62.500000,32.730574,1.560868,35.011725,8.504587,53.536200,188.763929,12.765000,30.000000,29.995412,0,1,1,1,1
-49.569261,25.438126,28.320312,62.500000,36.614898,1.474312,-28.800557,5.792966,51.197799,371.493902,20.002000,29.981111,29.999242,0,1,1,1,1
19.250913,-51.926034,28.971354,62.500000,36.471103,1.479317,10.983712,-26.954303,54.234122,327.017438,18.446000,30.000000,29.999109,0,1,1,1,1
20.750243,50.972454,29.622396,62.500000,27.194676,1.571181,17.228540,35.823192,51.930418,176.245567,12.400000,30.000000,29.999368,0,1,1,1,1
-49.410800,-23.416700,30.273438,62.500000,33.443757,1.522450,-28.193407,-11.381919,53.152930,399.845540,20.896000,29.996754,29.999827,0,1,1,1,1
51.902412,-16.002068,30.924479,62.500000,25.969246,1.576300,36.889144,-15.175185,52.098042,180.936273,12.690000,30.000000,29.987260,0,1,1,1,1
-27.271924,46.534704,31.575521,62.500000,39.388685,1.365389,-16.426221,13.838807,50.675719,742.187796,28.135000,30.000000,29.998300,0,1,1,1,1
-11.243138,-52.357335,32.226562,62.500000,38.413976,1.380253,-11.902409,-18.944294,51.167726,726.253304,27.846000,30.000000,29.998300,0,1,1,1,1
43.333377,30.782001,32.877604,62.500000,24.027317,1.579787,30.146448,25.955615,52.374345,192.831559,13.377000,30.000000,29.991827,0,1,1,1,1
-52.340511,6.523097,33.528646,62.500000,29.593127,1.545343,-31.648904,1.582772,54.100562,415.670838,21.358000,29.996261,29.999827,0,1,1,1,1
33.916046,-39.845963,34.179688,62.500000,22.552749,1.573407,27.440324,-28.356226,52.473879,213.982503,14.418000,30.000000,29.999329,0,1,1,1,1
1.891214,51.860328,34.830729,62.500000,29.272978,1.514300,2.342528,31.162042,55.525766,361.177476,19.678000,30.000000,29.999342,0,1,1,1,1
-36.114765,-36.647206,35.481771,62.500000,28.299936,1.535716,-27.312965,-17.032368,53.884837,441.709381,22.067000,29.981128,29.999417,0,1,1,1,1
50.930232,2.604097,36.132812,62.500000,24.062156,1.567304,35.844747,2.865078,54.877075,261.461512,16.387000,30.000000,29.992133,0,1,1,1,1
-38.952951,32.184868,36.783854,62.500000,29.789236,1.504169,-28.272051,10.260350,53.890357,542.442157,24.352000,29.974872,29.998888,0,1,1,1,1
6.915744,-49.568650,37.434896,62.500000,29.993709,1.479747,1.424129,-26.864417,56.249320,584.733534,25.109000,30.000000,29.998974,0,1,1,1,1
28.103742,40.815329,38.085938,62.500000,16.792542,1.567430,22.658687,32.883104,51.848955,248.787624,16.149000,30.000000,29.994512,0,1,1,1,1
-47.798865,-10.998407,38.736979,62.500000,25.073108,1.515816,-29.168633,-5.725301,54.667125,569.649633,24.962000,29.999861,29.996800,0,1,1,1,1
42.221176,-23.920830,39.388021,62.500000,15.288273,1.566922,34.075756,-20.444730,51.849968,271.216154,17.087000,30.000000,29.987179,0,1,1,1,1
-14.808968,45.648855,40.039062,62.500000,28.394166,1.471419,-11.335417,22.816530,56.557176,752.766650,28.362000,30.000000,29.998932,0,1,1,1,1
-19.687134,-43.162277,40.690104,62.500000,26.474866,1.504703,-20.529200,-20.918954,55.023422,680.897655,27.151000,30.000000,29.998744,0,1,1,1,1
43.151097,18.306898,41.341146,62.500000,16.078388,1.569086,33.675846,15.462942,54.015769,312.595500,18.448000,30.000000,29.995791,0,1,1,1,1
-43.635485,15.454793,41.992188,62.500000,19.770984,1.559083,-32.362145,5.754574,55.019442,561.026971,24.857000,29.986378,29.999669,0,1,1,1,1
21.454615,-40.342341,42.643229,62.500000,17.447659,1.540293,17.369021,-29.181799,55.417070,430.743689,21.789000,30.000000,29.999301,0,1,1,1,1
11.276692,43.642781,43.294271,62.500000,14.315403,1.549791,10.861587,34.322980,54.152436,389.283630,20.749000,30.000000,29.999091,0,1,1,1,1
-37.263365,-24.217786,43.945312,62.500000,16.653635,1.565867,-29.364998,-14.790639,55.174215,612.075454,25.928000,30.000000,29.999819,0,1,1,1,1
43.191291,-7.206081,44.596354,62.500000,10.405366,1.564223,36.775468,-8.226332,52.724574,354.993971,19.874000,30.000000,29.997404,0,1,1,1,1
-26.565563,33.958711,45.247396,62.500000,22.038804,1.494510,-21.685267,15.836073,56.799954,948.056926,31.793000,30.000000,29.998910,0,1,1,1,1
-3.296256,-42.293240,45.898438,62.500000,21.847518,1.483792,-6.301290,-24.166383,57.717951,992.574750,32.471000,30.000000,29.999034,0,1,1,1,1
30.476433,28.470740,46.549479,62.500000,6.541469,1.547290,26.732569,26.709530,51.616277,446.203456,22.343000,29.999992,29.983769,0,1,1,1,1
-40.965853,-0.399700,47.200521,62.500000,13.365740,1.543371,-30.916249,-3.100431,55.588282,750.229184,28.539000,30.000000,29.992544,0,1,1,1,1
29.909803,-26.867855,47.851562,62.500000,4.962981,1.528850,28.369168,-23.885513,51.507142,558.052550,24.781000,29.999995,29.995039,0,1,1,1,1
-3.829051,39.231183,48.502604,62.500000,13.701469,1.512781,-3.568921,28.787371,57.367668,749.889827,28.371000,30.000000,29.999257,0,1,1,1,1
-23.187380,-30.862834,49.153646,62.500000,12.772183,1.533541,-23.173236,-19.987365,55.850857,899.083721,31.082000,30.000000,29.999405,0,1,1,1,1
37.115873,6.939388,49.804688,62.500000,7.901312,1.512918,31.692334,5.788362,55.434173,634.195606,26.222000,30.000000,8.519771,0,1,1,1,1
-31.313194,19.492391,50.455729,62.500000,10.662273,1.530231,-28.473703,10.696449,55.771063,978.818623,32.392000,30.000000,29.999484,0,1,1,1,1
9.678326,-34.650801,51.106771,62.500000,9.833237,1.505131,7.053821,-27.459926,57.278954,900.321661,30.980000,30.000000,29.999054,0,1,1,1,1
15.843297,31.246900,51.757812,62.500000,2.906105,1.503817,15.321835,29.081650,53.624686,942.027143,31.686000,30.000000,29.990906,0,1,1,1,1
-31.870600,-11.992783,52.408854,62.500000,6.905597,1.520460,-28.426684,-6.963248,55.653925,1038.970136,33.370000,30.000000,29.956129,0,1,1,1,1
30.651467,-12.303863,53.059896,62.500000,2.768188,1.483493,28.726661,-11.199749,54.714865,1076.939873,33.766000,30.000000,29.678469,0,1,1,1,1
-13.827514,28.812932,53.710938,62.500000,9.607316,1.486058,-12.873567,20.505919,58.442116,1366.119538,38.123000,30.000000,29.999162,0,1,1,1,1
-8.942000,-29.513825,54.361979,62.500000,8.745439,1.487701,-10.183064,-21.822320,58.334789,1470.280893,39.618000,30.000000,29.999211,0,1,1,1,1
25.517326,15.122288,55.013021,62.500000,2.012007,1.471596,24.332698,13.907836,56.094655,1230.635112,36.053000,30.000000,28.501989,0,1,1,1,1
-27.816473,5.831462,55.664062,62.500000,4.243193,1.505266,-26.439203,1.951348,56.689991,1396.783159,38.670000,30.000000,29.953861,0,1,1,1,1
15.806391,-22.023103,56.315104,62.500000,2.760112,1.462494,14.193908,-20.211335,57.632531,1486.647905,39.729000,30.000000,29.979188,0,1,1,1,1
3.055335,25.529848,56.966146,62.500000,3.021209,1.459633,2.249321,22.941507,58.299762,1594.787330,41.229000,30.000000,29.987933,0,1,1,1,1
-18.365089,-15.787122,57.617188,62.500000,3.645895,1.481374,-18.854592,-12.250379,58.355012,1722.082493,43.112000,30.000000,29.904259,0,1,1,1,1
22.595446,-0.713643,58.268229,62.500000,1.595794,1.442169,21.142569,-0.691962,58.927953,1640.351278,41.785000,30.000000,11.663970,0,1,1,1,1
-14.922687,14.563068,58.919271,62.500000,3.522190,1.462447,-14.113107,11.282424,59.913143,1969.505803,46.366000,30.000000,29.900674,0,1,1,1,1
1.057795,-18.881444,59.570312,62.500000,2.898482,1.444961,-0.314227,-16.465116,60.395002,1964.039236,46.209000,30.000000,28.109500,0,1,1,1,1
10.588417,12.943104,60.221354,62.500000,1.525889,1.429488,9.386702,12.111430,60.660146,1937.350038,45.730000,30.000000,15.202868,0,1,1,1,1
-14.024788,-2.026514,60.872396,62.500000,1.888476,1.424768,-12.261837,-2.612335,61.211746,2164.730847,48.702000,30.000000,29.988046,0,1,1,1,1
9.094687,-6.197041,61.523438,62.500000,0.965521,1.419937,8.144673,-6.123441,61.679286,2109.045835,47.927000,30.000000,29.814338,0,1,1,1,1
-1.458793,6.201295,62.174479,62.500000,0.489638,1.415713,-1.491672,5.714781,62.218839,2235.315667,49.522000,30.000000,29.997607,0,1,1,1,1
39.497171,-84.403160,10.253906,93.750000,73.416919,1.830428,23.143590,-44.400084,69.603365,150.007875,9.474000,30.000000,29.999034,0,1,1,1,1
27.855819,88.808741,11.230469,93.750000,63.996837,1.967531,22.445922,60.671585,68.454839,108.310904,7.755000,30.000000,29.999451,0,1,1,1,1
-80.423003,-46.606774,12.207031,93.750000,71.490329,1.828617,-43.382049,-18.737925,66.632779,173.821058,10.727000,29.995236,29.999730,0,1,1,1,1
90.653483,-19.929914,13.183594,93.750000,60.700170,2.005528,65.171021,-20.051631,68.275699,102.387730,7.541000,30.000000,29.993849,0,1,1,1,1
