# Simulation 6 (Up to date)
# 716 data points written for 10 variables.
#
# Time (s),Altitude (m),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag coefficient (​),Normal force coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,64.528053,7.972923e-4,9.682337e-6,NaN,20.646563,0,0.867734,NaN
0.01,0,64.522259,7.972412e-4,9.682103e-6,NaN,20.645741,0.305161,0.86587,NaN
0.02,0,64.516465,7.971902e-4,9.681868e-6,NaN,20.644919,0.610323,0.86403,NaN
0.031,9.155084e-5,64.510092,7.97134e-4,9.68161e-6,NaN,20.644014,0.946,0.862102,NaN
0.041,7.554515e-4,64.474742,7.968224e-4,9.680178e-6,NaN,20.638994,1.582066,0.859971,NaN
0.051,0.002894,64.439393,7.965104e-4,9.678746e-6,NaN,20.633969,2.218131,0.855859,NaN
0.061,0.007496,64.404043,7.961981e-4,9.677313e-6,NaN,20.628938,2.854197,0.847461,NaN
0.071,0.01555,64.368693,7.958854e-4,9.675881e-6,NaN,20.623901,3.490262,0.831825,NaN
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.028046,64.333343,7.955725e-4,9.674449e-6,NaN,20.618859,4.126328,0.808924,NaN
0.092,0.048107,64.294458,7.952278e-4,9.672874e-6,NaN,20.613306,4.826,0.778444,NaN
0.102,0.073278,64.20405,7.94425e-4,9.669211e-6,NaN,20.60037,5.913234,0.748372,NaN
0.112,0.106677,64.113642,7.9362e-4,9.665549e-6,NaN,20.587398,7.000468,0.718083,NaN
0.122,0.150007,64.023235,7.928129e-4,9.661886e-6,NaN,20.574388,8.087702,0.689711,NaN
0.132,0.20498,63.932827,7.920036e-4,9.658223e-6,NaN,20.561342,9.174936,0.66423,NaN
0.139,0.251306,63.869541,7.914358e-4,9.655659e-6,NaN,20.552188,9.936,0.648197,NaN
0.149,0.329927,63.722397,7.901114e-4,9.649698e-6,NaN,20.530834,10.719774,0.627976,NaN
0.159,0.424363,63.575253,7.887812e-4,9.643737e-6,NaN,20.50938,11.503547,0.610639,NaN
0.168731,0.532643,63.432067,7.874811e-4,9.637936e-6,NaN,20.488409,12.26624,0.59594,NaN
0.177066,0.639125,63.309428,7.863631e-4,9.632968e-6,NaN,20.470371,12.919485,0.592511,NaN
0.184436,0.74447,63.200981,7.853711e-4,9.628574e-6,NaN,20.454362,13.497135,0.592392,NaN
0.192,0.864063,63.089678,7.843495e-4,9.624065e-6,NaN,20.437874,14.09,0.592311,NaN
0.198023,0.967832,62.99548,7.834823e-4,9.620249e-6,NaN,20.423875,13.153223,0.592328,NaN
# Event LAUNCHROD occurred at t=0.204 seconds
0.203629,1.070872,62.907814,7.82673e-4,9.616697e-6,23.994212,20.410809,12.281396,0.592377,1.288813
0.209,1.175046,62.823812,7.818954e-4,9.613294e-6,24.048554,20.398254,11.446,0.592433,1.204631
0.217057,1.340407,62.730912,7.810332e-4,9.60953e-6,24.1206,20.384331,9.957294,0.592524,1.096734
0.226889,1.555021,62.617548,7.799778e-4,9.604938e-6,24.197356,20.367285,8.140641,0.592634,0.986205
0.231,1.648326,62.570144,7.795354e-4,9.603017e-6,24.226958,20.360139,7.381,0.592677,0.944742
0.237167,1.791668,62.519036,7.790577e-4,9.600947e-6,24.270494,20.352422,6.934812,0.592739,0.8849
0.248,2.05247,62.429257,7.782167e-4,9.597309e-6,24.347614,20.338835,6.151,0.592845,0.782121
0.257559,2.29125,62.361114,7.775769e-4,9.594549e-6,24.412737,20.328497,6.007183,0.592937,0.698436
0.267422,2.545724,62.290805,7.769153e-4,9.5917e-6,24.482776,20.317806,5.858795,0.593035,0.611461
0.277814,2.822535,62.216717,7.762166e-4,9.588699e-6,24.561335,20.306515,5.702428,0.59314,0.517474
0.289151,3.134297,62.135899,7.754526e-4,9.585424e-6,24.652222,20.294167,5.531862,0.593257,0.413224
0.292,3.214208,62.115591,7.752604e-4,9.584602e-6,24.675835,20.291059,5.489,0.593286,0.386896
0.296273,3.335237,62.088347,7.750022e-4,9.583498e-6,24.711793,20.286887,5.457882,0.593331,0.347388
0.302683,3.51937,62.047482,7.746147e-4,9.581842e-6,24.764546,20.280621,5.411206,0.593398,0.290676
0.312298,3.801335,61.986183,7.740324e-4,9.579359e-6,24.841051,20.271207,5.341191,0.593501,0.21099
0.32672,4.237039,61.894236,7.731568e-4,9.575634e-6,24.958756,20.257052,5.236169,0.593658,0.094003
0.348353,4.91855,61.756315,7.718389e-4,9.570046e-6,24.98476,20.235739,5.078635,0.5939,0.069335
0.37,5.632925,61.618305,7.705145e-4,9.564455e-6,24.82252,20.214318,4.921,0.594144,0.231109
0.384222,6.119294,61.536701,7.697287e-4,9.561149e-6,24.739208,20.201606,4.856934,0.594352,0.319361
0.39427,6.470892,61.479045,7.691723e-4,9.558813e-6,24.693686,20.192605,4.811669,0.594509,0.369185
0.402765,6.773205,61.430301,7.687012e-4,9.556838e-6,24.667293,20.184981,4.773401,0.594643,0.39865
0.410447,7.05054,61.386221,7.682745e-4,9.555052e-6,24.656033,20.178077,4.738795,0.594764,0.411427
0.417718,7.316422,61.344505,7.678701e-4,9.553362e-6,24.651588,20.171534,4.706043,0.594879,0.41658
0.424724,7.575773,61.304301,7.674799e-4,9.551734e-6,24.653035,20.165219,4.67448,0.59499,0.415101
0.431587,7.83272,61.264925,7.670973e-4,9.550138e-6,24.659866,20.159027,4.643567,0.595099,0.407574
0.438397,8.090574,61.225846,7.66717e-4,9.548555e-6,24.671858,20.152873,4.612886,0.595206,0.394307
0.445255,8.353046,61.186497,7.663337e-4,9.546961e-6,24.689043,20.146669,4.581994,0.595315,0.375371
0.45227,8.624453,61.146246,7.659412e-4,9.54533e-6,24.709989,20.140315,4.550393,0.595425,0.352475
0.459525,8.908236,61.104616,7.655346e-4,9.543643e-6,24.73317,20.133734,4.51771,0.595539,0.327396
0.467121,9.208662,61.061031,7.651084e-4,9.541878e-6,24.762876,20.126834,4.483492,0.595659,0.295636
0.475,9.523835,61.015823,7.646657e-4,9.540046e-6,24.799056,20.119667,4.448,0.595782,0.257541
0.484083,9.891635,60.967393,7.641907e-4,9.538084e-6,24.846704,20.111977,4.439195,0.595925,0.208355
0.494908,10.336182,60.909674,7.636237e-4,9.535746e-6,24.910136,20.102797,4.428701,0.596096,0.144586
0.50993,10.964206,60.829579,7.628353e-4,9.532501e-6,25.016198,20.090028,4.414139,0.596336,0.042151
0.532463,11.930412,60.709436,7.616488e-4,9.527633e-6,24.947112,20.070812,4.392296,0.596702,0.108877
0.549616,12.685242,60.617982,7.607426e-4,9.523928e-6,24.853839,20.056134,4.375668,0.596982,0.202351
0.558689,13.091251,60.569605,7.602622e-4,9.521968e-6,24.826572,20.048352,4.366873,0.597131,0.230575
0.566527,13.445713,60.527813,7.598466e-4,9.520275e-6,24.81134,20.041619,4.359275,0.59726,0.246565
0.573736,13.774761,60.489377,7.594639e-4,9.518718e-6,24.8041,20.035418,4.352287,0.597378,0.254284
0.580604,14.090986,60.452754,7.590988e-4,9.517234e-6,24.803297,20.029502,4.345628,0.597492,0.255271
0.58733,14.403192,60.416891,7.587408e-4,9.515781e-6,24.808222,20.023703,4.339108,0.597603,0.250263
0.59406,14.718063,60.381011,7.583823e-4,9.514327e-6,24.818657,20.017893,4.332585,0.597715,0.239531
0.600961,15.043562,60.344217,7.580143e-4,9.512837e-6,24.836382,20.011929,4.325895,0.59783,0.221327
0.608267,15.391053,60.30526,7.576241e-4,9.511258e-6,24.870796,20.005606,4.318813,0.59795,0.186296
0.616745,15.797923,60.260058,7.571708e-4,9.509427e-6,24.91633,19.998259,4.310594,0.598091,0.140802
0.627645,16.326838,60.201939,7.56587e-4,9.507072e-6,24.98116,19.988796,4.300028,0.598272,0.077698
0.643995,17.132305,60.114761,7.557092e-4,9.50354e-6,25.044704,19.974568,4.284178,0.598546,0.017815
0.671,18.494044,59.970776,7.542541e-4,9.497707e-6,24.93051,19.950978,4.258,0.59902,0.127886
0.68141,19.029332,59.914673,7.536854e-4,9.495434e-6,24.906441,19.941756,4.353367,0.599238,0.151979
0.690011,19.476061,59.868317,7.532146e-4,9.493556e-6,24.895468,19.934122,4.432166,0.599424,0.163149
0.697904,19.88958,59.825781,7.527821e-4,9.491833e-6,24.892799,19.927108,4.504472,0.599599,0.166011
0.702,20.105592,59.803703,7.525573e-4,9.490938e-6,24.894396,19.923463,4.542,0.599691,0.164504
0.708145,20.431393,59.770941,7.522235e-4,9.489611e-6,24.900545,19.918049,4.431397,0.599828,0.158484
0.71591,20.846091,59.729538,7.518012e-4,9.487933e-6,24.913934,19.911199,4.291624,0.599996,0.1453
0.723,21.227528,59.691734,7.514151e-4,9.486402e-6,24.931174,19.904937,4.164,0.600144,0.128375
0.73223,21.727931,59.643051,7.509172e-4,9.484429e-6,24.95979,19.89686,4.184641,0.600333,0.100529
0.743767,22.359518,59.5822,7.502937e-4,9.481964e-6,25.002932,19.886746,4.210441,0.600572,0.059212
0.761073,23.319718,59.490923,7.493562e-4,9.478266e-6,25.053337,19.871536,4.249141,0.600936,0.012076
0.787033,24.78919,59.354007,7.479448e-4,9.472719e-6,24.958401,19.848633,4.307191,0.601497,0.103075
0.797024,25.364232,59.301307,7.473998e-4,9.470584e-6,24.93798,19.83979,4.329535,0.601716,0.123309
0.805217,25.839683,59.258095,7.469523e-4,9.468833e-6,24.932028,19.832526,4.347856,0.601897,0.12937
0.812928,26.290401,59.217427,7.465306e-4,9.467185e-6,24.934675,19.825681,4.365099,0.602069,0.12694
0.820646,26.744713,59.176721,7.461079e-4,9.465536e-6,24.943829,19.81882,4.382357,0.602242,0.118115
0.828816,27.229112,59.133631,7.456598e-4,9.46379e-6,24.959994,19.811547,4.400627,0.602427,0.102494
0.83805,27.780973,59.084923,7.451526e-4,9.461817e-6,24.985041,19.803313,4.421278,0.602638,0.078446
0.85,28.501869,59.021897,7.44495e-4,9.459264e-6,25.025019,19.792638,4.448,0.602913,0.040584
0.867924,29.597649,58.925284,7.434845e-4,9.455349e-6,25.045376,19.77623,4.440006,0.603329,0.021852
0.894811,31.27351,58.780365,7.419627e-4,9.449478e-6,24.975486,19.751517,4.428014,0.603954,0.089061
0.904055,31.858565,58.730536,7.414378e-4,9.447459e-6,24.965977,19.742992,4.423891,0.604169,0.098525
0.912317,32.385195,58.686007,7.40968e-4,9.445655e-6,24.964521,19.735361,4.420206,0.604361,0.10015
0.920313,32.898326,58.642907,7.405126e-4,9.443909e-6,24.970146,19.727964,4.41664,0.604547,0.094879
0.928612,33.434448,58.598172,7.400393e-4,9.442096e-6,24.98276,19.720274,4.412938,0.60474,0.082867
0.937948,34.041796,58.547851,7.39506e-4,9.440058e-6,25.003918,19.711611,4.408774,0.604958,0.062764
0.950055,34.836138,58.482593,7.388131e-4,9.437414e-6,25.038982,19.700354,4.403374,0.60524,0.029803
0.968216,36.041824,58.384706,7.37771e-4,9.433448e-6,25.047143,19.683421,4.395275,0.605664,0.02258
0.995457,37.882042,58.237876,7.362016e-4,9.427499e-6,24.995163,19.657915,4.383125,0.606331,0.072602
1.004872,38.526849,58.187128,7.356574e-4,9.425443e-6,24.987499,19.64907,4.378926,0.606585,0.080226
1.013276,39.106195,58.14183,7.351708e-4,9.423608e-6,24.984625,19.641161,4.375177,0.606813,0.083219
1.021268,39.66045,58.098752,7.347075e-4,9.421862e-6,24.989065,19.633629,4.371613,0.60703,0.079139
1.029564,40.23918,58.054035,7.342258e-4,9.420051e-6,25.000504,19.625798,4.367913,0.607255,0.068347
1.039028,40.90351,58.003027,7.336754e-4,9.417984e-6,25.020596,19.616851,4.363692,0.607511,0.049399
1.051845,41.810402,57.93394,7.329286e-4,9.415185e-6,25.056754,19.604707,4.357975,0.607857,0.015638
1.063,42.606233,57.873815,7.322772e-4,9.412749e-6,25.051713,19.594115,4.353,0.608156,0.020632
1.079732,43.811372,57.784602,7.313083e-4,9.409134e-6,25.006995,19.578358,4.353,0.608604,0.063418
1.089102,44.492149,57.734644,7.307644e-4,9.40711e-6,24.99391,19.569514,4.353,0.608855,0.076234
1.096776,45.052901,57.693726,7.303183e-4,9.405453e-6,24.990914,19.562258,4.353,0.609061,0.079325
1.104105,45.591054,57.65465,7.298917e-4,9.403869e-6,24.995266,19.555319,4.353,0.609257,0.075321
1.111688,46.150567,57.614219,7.294498e-4,9.402231e-6,25.006494,19.54813,4.353,0.609461,0.06473
1.120415,46.797971,57.567684,7.289404e-4,9.400346e-6,25.025841,19.539843,4.353,0.609695,0.046497
1.132383,47.691633,57.503872,7.282405e-4,9.397761e-6,25.059431,19.528457,4.353,0.610017,0.015149
1.150335,49.044913,57.408155,7.271879e-4,9.393883e-6,25.04251,19.511331,4.353,0.610499,0.031495
1.167003,50.315098,57.319284,7.262076e-4,9.390282e-6,25.015831,19.495379,4.353,0.610945,0.057251
1.176082,51.012442,57.270878,7.256725e-4,9.388321e-6,25.012697,19.48667,4.353,0.611189,0.060488
1.18454,51.665623,57.225781,7.251731e-4,9.386494e-6,25.017427,19.478542,4.353,0.611415,0.05619
1.193517,52.362611,57.177913,7.246422e-4,9.384554e-6,25.029676,19.469901,4.353,0.611656,0.044763
1.204606,53.228668,57.118789,7.239853e-4,9.382159e-6,25.050788,19.459208,4.353,0.611953,0.025105
1.211,53.73064,57.084698,7.236059e-4,9.380777e-6,25.063946,19.453033,4.353,0.612125,0.012938
1.220591,54.487116,57.03523,7.230546e-4,9.378773e-6,25.071829,19.444059,4.265137,0.612378,0.005827
1.234977,55.629452,56.961027,7.22226e-4,9.375767e-6,25.046805,19.430568,4.133341,0.612741,0.029626
1.242,56.190311,56.924802,7.218207e-4,9.374299e-6,25.038918,19.423969,4.069,0.612912,0.037243
1.252535,57.03537,56.871077,7.212187e-4,9.372122e-6,25.033257,19.414167,4.101641,0.613165,0.042858
1.263275,57.901608,56.816303,7.206039e-4,9.369903e-6,25.033991,19.404155,4.134919,0.613425,0.042422
1.273905,58.763628,56.762092,7.199942e-4,9.367707e-6,25.043731,19.394226,4.167854,0.613686,0.033459
1.287182,59.84688,56.694385,7.192312e-4,9.364964e-6,25.064847,19.381799,4.20899,0.614017,0.013935
1.303,61.147237,56.613716,7.183198e-4,9.361695e-6,25.067052,19.366954,4.258,0.614417,0.012266
1.326727,63.117861,56.488587,7.169011e-4,9.356625e-6,25.044942,19.343844,4.271661,0.615024,0.033654
1.33908,64.153329,56.423443,7.161601e-4,9.353986e-6,25.048341,19.331772,4.278773,0.61534,0.030761
1.352357,65.273533,56.353425,7.153619e-4,9.351149e-6,25.062396,19.318765,4.286417,0.615681,0.017879
1.372272,66.967875,56.248398,7.141609e-4,9.346894e-6,25.072397,19.299194,4.297884,0.616254,0.00903
1.402145,69.54074,56.090857,7.123514e-4,9.340511e-6,25.055267,19.269701,4.315083,0.617114,0.02587
1.416734,70.810858,56.013918,7.114641e-4,9.337394e-6,25.064484,19.255237,4.323483,0.617534,0.017586
1.437815,72.661775,55.902746,7.101778e-4,9.332889e-6,25.078942,19.234267,4.335621,0.618142,0.004614
1.468,75.344298,55.743557,7.083274e-4,9.32644e-6,25.06713,19.204094,4.353,0.619011,0.016449
1.489162,77.247367,55.629495,7.069953e-4,9.321818e-6,25.080233,19.182368,4.363693,0.619619,0.004748
1.520904,80.13639,55.458401,7.049872e-4,9.314886e-6,25.076215,19.149612,4.379733,0.620533,0.009338
1.556737,83.446833,55.265261,7.02706e-4,9.307061e-6,25.08635,19.112391,4.39784,0.621563,8.297336e-4
1.606737,88.152314,54.995759,6.99497e-4,9.296141e-6,25.084398,19.060017,4.423106,0.622996,0.003978
1.656,92.885215,54.730227,6.963055e-4,9.285383e-6,25.085017,19.007911,4.448,0.624395,0.004713
1.706,97.785444,54.457815,6.930001e-4,9.274345e-6,25.087924,18.953926,4.448,0.625809,0.003337
1.756,102.780297,54.185403,6.896627e-4,9.263308e-6,25.092357,18.899398,4.448,0.627198,5.250648e-4
1.806,107.867044,53.912991,6.862927e-4,9.25227e-6,25.09281,18.84432,4.448,0.628648,0.001417
1.821,109.410564,53.831268,6.852753e-4,9.248959e-6,25.092257,18.827688,4.448,0.629093,0.002324
1.834,110.753917,53.772503,6.845418e-4,9.246578e-6,25.093123,18.815696,2.933,0.629324,0.00172
1.847,112.098421,53.738602,6.84118e-4,9.245204e-6,25.094578,18.808767,1.325,0.629242,2.887539e-4
# Event BURNOUT occurred at t=1.86 seconds
1.86,113.439254,53.728053,6.83986e-4,9.244777e-6,25.090983,18.806609,0,0.62887,0.003319
1.8795,115.436739,53.728053,6.83986e-4,9.244777e-6,25.088013,18.806609,0,0.628125,0.00544
1.90875,118.40018,53.728053,6.83986e-4,9.244777e-6,25.089716,18.806609,0,0.627098,0.002893
1.952625,122.773199,53.728053,6.83986e-4,9.244777e-6,25.090226,18.806609,0,0.62566,0.001047
2.002625,127.654359,53.728053,6.83986e-4,9.244777e-6,25.08906,18.806609,0,0.624095,6.571827e-4
2.052625,132.430229,53.728053,6.83986e-4,9.244777e-6,25.085098,18.806609,0,0.62261,0.002964
2.102625,137.104392,53.728053,6.83986e-4,9.244777e-6,25.083528,18.806609,0,0.621184,0.003107
2.152625,141.68034,53.728053,6.83986e-4,9.244777e-6,25.085162,18.806609,0,0.619824,3.408366e-4
2.202625,146.161291,53.728053,6.83986e-4,9.244777e-6,25.083477,18.806609,0,0.618529,7.360683e-4
2.252625,150.55028,53.728053,6.83986e-4,9.244777e-6,25.082177,18.806609,0,0.617287,8.314939e-4
2.302625,154.850164,53.728053,6.83986e-4,9.244777e-6,25.080044,18.806609,0,0.61609,0.001754
2.352625,159.06374,53.728053,6.83986e-4,9.244777e-6,25.079886,18.806609,0,0.615033,9.022194e-4
2.402625,163.193536,53.728053,6.83986e-4,9.244777e-6,25.078027,18.806609,0,0.614062,0.001682
2.452625,167.241943,53.728053,6.83986e-4,9.244777e-6,25.078175,18.806609,0,0.613123,6.35875e-4
2.502625,171.211314,53.728053,6.83986e-4,9.244777e-6,25.075638,18.806609,0,0.612225,0.002131
2.552625,175.103832,53.728053,6.83986e-4,9.244777e-6,25.074953,18.806609,0,0.61136,0.001944
2.602625,178.921574,53.728053,6.83986e-4,9.244777e-6,25.074684,18.806609,0,0.610529,0.001412
2.652625,182.666517,53.728053,6.83986e-4,9.244777e-6,25.071206,18.806609,0,0.609724,0.003889
2.702625,186.340541,53.728053,6.83986e-4,9.244777e-6,25.071822,18.806609,0,0.608947,0.002596
2.752625,189.945519,53.728053,6.83986e-4,9.244777e-6,25.068637,18.806609,0,0.608206,0.004874
2.802625,193.483086,53.728053,6.83986e-4,9.244777e-6,25.054311,18.806609,0,0.607474,0.017562
2.832622,195.573753,53.728053,6.83986e-4,9.244777e-6,25.053545,18.806609,0,0.607056,0.017896
2.862362,197.623465,53.728053,6.83986e-4,9.244777e-6,25.044061,18.806609,0,0.606649,0.026415
2.882998,199.032514,53.728053,6.83986e-4,9.244777e-6,25.059914,18.806609,0,0.606371,0.011327
2.913953,201.125938,53.728053,6.83986e-4,9.244777e-6,25.051127,18.806609,0,0.605979,0.019165
2.943672,203.113302,53.728053,6.83986e-4,9.244777e-6,25.042794,18.806609,0,0.605643,0.026629
2.96546,204.556424,53.728053,6.83986e-4,9.244777e-6,25.066436,18.806609,0,0.605404,0.004302
2.998142,206.699474,53.728053,6.83986e-4,9.244777e-6,25.038803,18.806609,0,0.605054,0.029767
3.018288,208.007769,53.728053,6.83986e-4,9.244777e-6,25.038951,18.806609,0,0.604841,0.029407
3.039103,209.349379,53.728053,6.83986e-4,9.244777e-6,25.055772,18.806609,0,0.604624,0.013432
3.070325,211.342698,53.728053,6.83986e-4,9.244777e-6,25.038296,18.806609,0,0.6043,0.029468
3.091832,212.702551,53.728053,6.83986e-4,9.244777e-6,25.021937,18.806609,0,0.604079,0.044681
3.106405,213.61786,53.728053,6.83986e-4,9.244777e-6,25.027325,18.806609,0,0.603932,0.039431
3.123094,214.660119,53.728053,6.83986e-4,9.244777e-6,25.047387,18.806609,0,0.603765,0.020396
3.148128,216.211638,53.728053,6.83986e-4,9.244777e-6,25.052321,18.806609,0,0.603518,0.015536
3.185678,218.512604,53.728053,6.83986e-4,9.244777e-6,25.028494,18.806609,0,0.603155,0.037534
3.204107,219.630459,53.728053,6.83986e-4,9.244777e-6,25.041638,18.806609,0,0.602979,0.024992
3.231751,221.293304,53.728053,6.83986e-4,9.244777e-6,25.051712,18.806609,0,0.602717,0.015308
3.273216,223.756473,53.728053,6.83986e-4,9.244777e-6,25.04131,18.806609,0,0.602336,0.024659
3.30336,225.523991,53.728053,6.83986e-4,9.244777e-6,25.063871,18.806609,0,0.602068,0.003363
3.348575,228.139438,53.728053,6.83986e-4,9.244777e-6,25.042031,18.806609,0,0.601672,0.02333
3.381884,230.039062,53.728053,6.83986e-4,9.244777e-6,25.046948,18.806609,0,0.60139,0.018457
3.425266,232.479242,53.728053,6.83986e-4,9.244777e-6,25.04738,18.806609,0,0.601029,0.017705
3.471363,235.030606,53.728053,6.83986e-4,9.244777e-6,25.03659,18.806609,0,0.600654,0.027443
3.50226,236.717128,53.728053,6.83986e-4,9.244777e-6,25.060458,18.806609,0,0.600408,0.004944
3.548607,239.212015,53.728053,6.83986e-4,9.244777e-6,25.017509,18.806609,0,0.600055,0.044845
3.568741,240.282945,53.728053,6.83986e-4,9.244777e-6,25.02098,18.806609,0,0.599904,0.041418
3.591003,241.458172,53.728053,6.83986e-4,9.244777e-6,25.041979,18.806609,0,0.599739,0.021523
3.624397,243.203464,53.728053,6.83986e-4,9.244777e-6,25.017568,18.806609,0,0.599489,0.044246
