time,height,velocity,pitch
2.990000,33.904641,1.134088,2.000000
3.000000,33.893300,1.134088,2.000000
3.010000,33.881959,1.134087,2.000000
3.020000,33.870618,1.134086,2.000000
3.030000,33.859277,1.134085,2.000000
3.040000,33.847937,1.134085,2.000000
3.050000,33.836596,1.134084,2.000000
3.060000,33.825255,1.134083,2.000000
3.070000,33.813914,1.134082,2.000000
3.080000,33.802573,1.134082,2.000000
3.090000,33.791233,1.134081,2.000000
3.100000,33.779892,1.134080,2.000000
3.110000,33.768551,1.134079,2.000000
3.120000,33.757210,1.134079,2.000000
3.130000,33.745869,1.134078,2.000000
3.140000,33.734529,1.134077,2.000000
3.150000,33.723188,1.134076,2.000000
3.160000,33.711847,1.134076,2.000000
3.170000,33.700506,1.134075,2.000000
3.180000,33.689166,1.134074,2.000000
3.190000,33.677825,1.134073,2.000000
3.200000,33.666484,1.134073,2.000000
3.210000,33.655143,1.134072,2.000000
3.220000,33.643803,1.134071,2.000000
3.230000,33.632462,1.134070,2.000000
3.240000,33.621121,1.134070,2.000000
3.250000,33.609781,1.134069,2.000000
3.260000,33.598440,1.134068,2.000000
3.270000,33.587099,1.134067,2.000000
3.280000,33.575759,1.134067,2.000000
3.290000,33.564418,1.134066,2.000000
3.300000,33.553077,1.134065,2.000000
3.310000,33.541737,1.134064,2.000000
3.320000,33.530396,1.134064,2.000000
3.330000,33.519055,1.134063,2.000000
3.340000,33.507715,1.134062,2.000000
3.350000,33.496374,1.134061,2.000000
3.360000,33.485034,1.134060,2.000000
3.370000,33.473693,1.134060,2.000000
3.380000,33.462352,1.134059,2.000000
3.390000,33.451012,1.134058,2.000000
3.400000,33.439671,1.134057,2.000000
3.410000,33.428331,1.134057,2.000000
3.420000,33.416990,1.134056,2.000000
3.430000,33.405650,1.134055,2.000000
3.440000,33.394309,1.134054,2.000000
3.450000,33.382968,1.134054,2.000000
3.460000,33.371628,1.134053,2.000000
3.470000,33.360287,1.134052,2.000000
3.480000,33.348947,1.134051,2.000000
3.490000,33.337606,1.134051,2.000000
3.500000,33.326266,1.134050,2.000000
3.510000,33.314925,1.134049,2.000000
3.520000,33.303585,1.134048,2.000000
3.530000,33.292244,1.134048,2.000000
3.540000,33.280904,1.134047,2.000000
3.550000,33.269563,1.134046,2.000000
3.560000,33.258223,1.134045,2.000000
3.570000,33.246883,1.134045,2.000000
3.580000,33.235542,1.134044,2.000000
3.590000,33.224202,1.134043,2.000000
3.600000,33.212861,1.134042,2.000000
3.610000,33.201521,1.134042,2.000000
3.620000,33.190180,1.134041,2.000000
3.630000,33.178840,1.134040,2.000000
3.640000,33.167500,1.134039,2.000000
3.650000,33.156159,1.134039,2.000000
3.660000,33.144819,1.134038,2.000000
3.670000,33.133479,1.134037,2.000000
3.680000,33.122138,1.134036,2.000000
3.690000,33.110798,1.134036,2.000000
3.700000,33.099457,1.134035,2.000000
3.710000,33.088117,1.134034,2.000000
3.720000,33.076777,1.134033,2.000000
3.730000,33.065436,1.134032,2.000000
3.740000,33.054096,1.134032,2.000000
3.750000,33.042756,1.134031,2.000000
3.760000,33.031416,1.134030,2.000000
3.770000,33.020075,1.134029,2.000000
3.780000,33.008735,1.134029,2.000000
3.790000,32.997395,1.134028,2.000000
3.800000,32.986054,1.134027,2.000000
3.810000,32.974714,1.134026,2.000000
3.820000,32.963374,1.134026,2.000000
3.830000,32.952034,1.134025,2.000000
3.840000,32.940693,1.134024,2.000000
3.850000,32.929353,1.134023,2.000000
3.860000,32.918013,1.134023,2.000000
3.870000,32.906673,1.134022,2.000000
3.880000,32.895333,1.134021,2.000000
3.890000,32.883992,1.134020,2.000000
3.900000,32.872652,1.134020,2.000000
3.910000,32.861312,1.134019,2.000000
3.920000,32.849972,1.134018,2.000000
3.930000,32.838632,1.134017,2.000000
3.940000,32.827291,1.134017,2.000000
3.950000,32.815951,1.134016,2.000000
3.960000,32.804611,1.134015,2.000000
3.970000,32.793271,1.134014,2.000000
3.980000,32.781931,1.134014,2.000000
3.990000,32.770591,1.134013,2.000000
4.000000,32.759251,1.134012,2.000000
4.010000,32.747910,1.134011,2.000000
4.020000,32.736570,1.134011,2.000000
4.030000,32.725230,1.134010,2.000000
4.040000,32.713890,1.134009,2.000000
4.050000,32.702550,1.134008,2.000000
4.060000,32.691210,1.134008,2.000000
4.070000,32.679870,1.134007,2.000000
4.080000,32.668530,1.134006,2.000000
4.090000,32.657190,1.134005,2.000000
4.100000,32.645850,1.134005,2.000000
4.110000,32.634510,1.134004,2.000000
4.120000,32.623170,1.134003,2.000000
4.130000,32.611830,1.134002,2.000000
